FID;nom_servic;no_cvq;rue;ville;cp;en_caserne;Y;X
17;Service de securité incendie Cloridorme;472;Route 132;Cloridorme;G0E1G0;0;-64.8498247081465;49.1809362891818
18;Service de securité incendie Grande-Vallée;8;Rue Industrielle;Grande-Vallée;G0E1K0;0;-65.1460716186189;49.2195986132897
19;Service de securité incendie Murdochville;388;Avenue Miller;Murdochville;G0E1W0;0;-65.4956901255381;48.9527960495143
20;Service de securité incendie Sainte-Madeleine-de-la-Rivière-Madeleine;156;Route Principale;Sainte-Madeleine-de-la-Rivière-Madeleine;G0E1P0;0;-65.3421005293049;49.2481254895056
21;Service de securité incendie Saint-Maxime-du-Mont-Louis;1;1e Avenue Ouest (Mont-Louis);Saint-Maxime-du-Mont-Louis;G0E1T0;0;-65.731469704003;49.2288214214228
22;Service de securité incendie Marsoui;16;Rue des Pionniers;Marsoui;G0E1S0;0;-66.0672241266496;49.2129481957972
23;Service de securité incendie Sainte-Anne-des-Monts;161;7e Rue Ouest;Sainte-Anne-des-Monts;G4V2L4;0;-66.4904746085537;49.1207205580825
24;Service de securité incendie Cap-Chat;11;Rue des Saules;Cap-Chat;G0J1E0;0;-66.6852598779409;49.0964233974372
25;Service de securité incendie Paspébiac;231;Rue Saint-Pie-X;Paspébiac;G0C2K0;0;-65.2504863066172;48.0389840169957
26;Service de securité incendie New Carlisle; ;Rue René-Lévesque;New Carlisle;G0C1Z0;0;-65.3287629149863;48.0106395781204
27;Service de securité incendie Bonaventure;211;Avenue de Grand-Pré;Bonaventure;G0C1E0;0;-65.4771247003243;48.050043527874
28;Service de securité incendie Saint-Elzéar;148;Chemin Principal;Saint-Elzéar;G0C2W0;0;-65.3934184432525;48.1596612159613
29;Service de sécurité incendie Saint-Siméon (Région 11); ;Route Poirier;Saint-Siméon;G0C3A0;0;-65.5670547616475;48.0751313128746
30;Service de securité incendie Caplan; ;Route des Érables;Caplan;G0C1H0;0;-65.6820891797512;48.103992067859
31;Service de securité incendie Saint-Alphonse;127;Rue Principale Est;Saint-Alphonse;G0C2V0;0;-65.6237623681479;48.1874913731407
32;Service de securité incendie Cascapédia-Saint-Jules;317;Route 299;Cascapédia--Saint-Jules;G0C1T0;0;-65.8924973123823;48.2571607459261
33;Service de securité incendie Maria;26;Route des Geais;Maria;G0C1Y0;0;-65.9933394586898;48.1702760243309
34;Service de securité incendie Carleton-sur-Mer;9;Rue Comeau;Carleton-sur-Mer;G0C1J0;0;-66.1152056590173;48.1022362247527
35;Service de securité incendie Nouvelle;466;Rue Francoeur;Nouvelle;G0C2E0;0;-66.3130997845934;48.1383706205294
36;Service de securité incendie Escuminac;156;Boulevard Perron;Escuminac;G0C2M0;0;-66.517800959493;48.0949379436556
37;Service de securité incendie Pointe-à-la-Croix;5;Rue de la Carrière;Pointe-à-la-Croix;G0C1L0;0;-66.6984124337838;48.0301292432481
38;Service de securité incendie Matapédia;1;Rue de l'Hôtel-de-Ville;Matapédia;G0J1V0;0;-66.9535028343662;47.9738028953124
39;Service de securité incendie Saint-Alexis-de-Matapédia;121;Rue Rustico Nord;Saint-Alexis-de-Matapédia;G0J2E0;0;-67.0527619868638;47.9723762104868
40;Service de securité incendie Saint-François-d'Assise;457;Chemin Central;Saint-François-d'Assise;G0J2N0;0;-67.1656698999239;47.9831337698695
41;Service de securité incendie L'Ascension-de-Patapédia;61;Rue Principale;L'Ascension-de-Patapédia;G0J1R0;0;-67.2490172987103;47.9348110918905
42;Service de securité incendie Matane;1;Rue de l'Église;Matane;G4W9G4;0;-67.4696699266947;48.7960170954717
43;Service de securité incendie Matane;300;Route Centrale;Saint-Ulric;G0J3H0;0;-67.6744625632554;48.7738221293159
44;Service de securité incendie Matane;532;Chemin de la Grève;Matane;G4W7A4;0;-67.4560555227192;48.862357038172
45;Service de securité incendie Matane;220;Avenue Saint-Jérôme;Matane;G4W3A2;0;-67.5313074041105;48.8430187469515
46;Service de securité incendie La Rédemption;73;Rue Soucy;La Rédemption;G0J1P0;0;-67.8816343569504;48.4465561797875
47;Service de securité incendie Saint-Gabriel-de-Rimouski;67;Rue de l'Église;Les Hauteurs;G0K1C0;0;-68.1112040581055;48.3771703060933
48;Service de securité incendie Saint-Gabriel-de-Rimouski;248;Rue Principale;Saint-Gabriel-de-Rimouski;G0K1M0;0;-68.1639912404249;48.431434428449
49;Service de securité incendie Saint-Gabriel-de-Rimouski;66;Rue Principale;Saint-Gabriel-de-Rimouski;G0K1M0;0;-68.1384627240109;48.4568725677468
50;Service de securité incendie Saint-Gabriel-de-Rimouski;194;Avenue du Mont-Comi;Saint-Donat;G0K1L0;0;-68.2441905135743;48.4955652965482
51;Service de securité incendie Métis-sur-Mer;249;Chemin de la Station;Métis-sur-Mer;G0J1S0;0;-67.9947246536728;48.666683778683
52;Service de securité incendie Price;18;Rue Oscar-Fournier;Price;G0J1Z0;0;-68.1229347589258;48.6019363294928
53;Service de securité incendie Mont-Joli;1594;Rue Lindsay;Mont-Joli;G5H3A4;0;-68.1898173495664;48.5860368827606
54;Service de securité incendie Mont-Joli;23;Rue de la Fabrique;Sainte-Angèle-de-Mérici;G0J2H0;0;-68.0832411982154;48.5266473569956
55;Service de securité incendie Sainte-Luce;31;Rue Saint-Alphonse;Sainte-Luce;G0K1P0;0;-68.3468786039968;48.5292380681796
56;Service de securité incendie Rimouski;3;Rue du Collège;Rimouski;G5N5G8;0;-68.4595739259684;48.3610305994808
57;Service de securité incendie Rimouski;620;Boulevard Sainte-Anne;Rimouski;G5M1J6;0;-68.4753487105114;48.5021302028168
58;Service de securité incendie Rimouski;11;Rue Saint-Laurent Ouest;Rimouski;G5L8B5;0;-68.5213157718175;48.4465268231993
59;Service de securité incendie Rimouski;149;Rue de Sainte-Cécile-du-Bic;Rimouski;G0L1B0;0;-68.7117891184939;48.3722913938074
60;Service de securité incendie Saint-Clément;2;Rue Saint-Pierre;Saint-Clément;G0L2N0;0;-69.0963181701275;47.9234003342421
61;Service de securité incendie Saint-Jean-de-Dieu; ;Rue Principale Sud;Saint-Jean-de-Dieu;G0L3M0;0;-69.0458070288124;48.000521776043
62;Service de securité incendie Saint-Éloi;183;Rue Principale Ouest;Saint-Éloi;G0L2V0;0;-69.2280714050425;48.0369676774944
63;Service de securité incendie Trois-Pistoles;358;Route 132;Saint-Simon;G0L4C0;0;-69.0418002279637;48.2048006945558
64;Service de securité incendie Trois-Pistoles; ;Rue Notre-Dame Est;Trois-Pistoles;G0L4K0;0;-69.1672185897936;48.1293295572457
65;Service de securité incendie Saint-Mathieu-de-Rioux; ;Rue de l'Église;Saint-Mathieu-de-Rioux;G0L3T0;0;-68.984494637249;48.184060366545
66;Service de securité incendie Saint-Hubert-de-Rivière-du-Loup;1;Rue de l'Église;Saint-Hubert-de-Rivière-du-Loup;G0L3L0;0;-69.1491039534522;47.8152978445748
67;Service de securité incendie Cacouna;300;Rue du Patrimoine;Cacouna;G0L1G0;0;-69.5238032081529;47.8966621503586
68;Service de securité incendie Rivière-du-Loup;552;Rue Lafontaine;Rivière-du-Loup;G5R3C6;0;-69.5299925168285;47.8272017288159
69;Service de securité incendie Rivière-du-Loup;210;Rue Saint-Jean-Baptiste;L'Isle-Verte;G0L1K0;0;-69.3395773080843;48.012294776284
70;Service de securité incendie Rivière-du-Loup;312;Rue Principale;Saint-Modeste;G0L3W0;0;-69.404169560403;47.8305715941512
71;Service de securité incendie Rivière-du-Loup;560;Route de la Montagne;Notre-Dame-du-Portage;G0L1Y0;0;-69.6097172742294;47.7655603272757
72;Service de securité incendie Dégelis;784;7e Rue Ouest;Dégelis;G5T1Z5;0;-68.6456265480413;47.5454673017745
73;Service de securité incendie Dégelis;909;Rue Principale;Saint-Jean-de-la-Lande;G0L3N0;0;-68.6803560968776;47.4269346902414
74;Service de securité incendie Packington;13;Rue de la Caserne;Packington;G0L1Z0;0;-68.7871949787543;47.4917281719591
75;Service de securité incendie Saint-Marc-du-Lac-Long;9;Rue de l'Église;Saint-Marc-du-Lac-Long;G0L1T0;0;-68.8959218590103;47.3880453482111
76;Service de securité incendie Rivière-Bleue;28;Rue des Pins Est;Rivière-Bleue;G0L2B0;0;-69.0435707405028;47.4364550136154
77;Service de securité incendie Saint-Eusèbe;131;Route des Beaux-Lieux;Saint-Eusèbe;G0L2Y0;0;-68.9112910291216;47.5427636421927
78;Service de securité incendie Saint-Juste-du-Lac;59;Route du Moulin;Saint-Juste-du-Lac;G0L1V0;0;-68.665734580078;47.6667843940079
79;Service de securité incendie Saint-Juste-du-Lac;14;Chemin du Canada;Saint-Juste-du-Lac;G0L3R0;0;-68.7520104155898;47.6526444898592
80;Service de securité incendie Auclair;559;Rue des Pionniers;Auclair;G0L1A0;0;-68.6475103062214;47.7270198956866
81;Service de securité incendie Lejeune;184;Rue Saint-Laurent;Lejeune;G0L1S0;0;-68.5742755337213;47.7696001565443
82;Service de securité incendie Biencourt;6;Rue Saint-Marc;Biencourt;G0K1T0;0;-68.6095220021575;47.9372315148096
83;Service de securité incendie Lac-des-Aigles;16;Rue Bélanger;Lac-des-Aigles;G0K1V0;0;-68.6800370937415;47.9902691302506
84;Service de securité incendie Saint-Michel-du-Squatec;3;Rue Saint-Michel;Saint-Michel-du-Squatec;G0L4H0;0;-68.7215331582664;47.8805035571764
85;Service de securité incendie Témiscouata-sur-le-Lac;831;Rue Commerciale Nord;Témiscouata-sur-le-Lac;G0L1E0;0;-68.8802946435301;47.6835678349727
86;Service de securité incendie Témiscouata-sur-le-Lac;15;Rue Pelletier;Témiscouata-sur-le-Lac;G0L1E0;0;-68.8783250750103;47.6816216100161
