REF_DATE;GEO;DGUID;Custodial and community admissions;UOM;UOM_ID;SCALAR_FACTOR;SCALAR_ID;VECTOR;COORDINATE;VALUE;STATUS;SYMBOL;TERMINATED;DECIMALS
2001/2002;Ontario;2016A000235;Total custodial admissions;Number;223;units;0;v80747885;7.1;91305;;;;0
2001/2002;Ontario;2016A000235;Sentenced;Number;223;units;0;v80747886;7.2;31980;;;;0
2001/2002;Ontario;2016A000235;Remand;Number;223;units;0;v80747887;7.3;56370;;;;0
2001/2002;Ontario;2016A000235;Other custodial statuses;Number;223;units;0;v80747888;7.4;2955;;;;0
2001/2002;Ontario;2016A000235;Total community admissions;Number;223;units;0;v80747889;7.5;52189;;;;0
2001/2002;Ontario;2016A000235;Probation and conditional sentences;Number;223;units;0;v80747890;7.6;42652;;;;0
2001/2002;Ontario;2016A000235;Probation;Number;223;units;0;v80747891;7.7;38236;;;;0
2001/2002;Ontario;2016A000235;Conditional sentence;Number;223;units;0;v80747892;7.8;4416;;;;0
2001/2002;Ontario;2016A000235;Other community programs;Number;223;units;0;v80747893;7.9;9537;;;;0
2001/2002;Ontario;2016A000235;Unknown community admissions;Number;223;units;0;v80747894;7.10;0;;;;0
2001/2002;Manitoba;2016A000246;Total custodial admissions;Number;223;units;0;v80747896;8.1;16204;;;;0
2001/2002;Manitoba;2016A000246;Sentenced;Number;223;units;0;v80747897;8.2;3025;;;;0
2001/2002;Manitoba;2016A000246;Remand;Number;223;units;0;v80747898;8.3;7625;;;;0
2001/2002;Manitoba;2016A000246;Other custodial statuses;Number;223;units;0;v80747899;8.4;5554;;;;0
2001/2002;Manitoba;2016A000246;Total community admissions;Number;223;units;0;v80747900;8.5;9217;;;;0
2001/2002;Manitoba;2016A000246;Probation and conditional sentences;Number;223;units;0;v80747901;8.6;5985;;;;0
2001/2002;Manitoba;2016A000246;Probation;Number;223;units;0;v80747902;8.7;5219;;;;0
2001/2002;Manitoba;2016A000246;Conditional sentence;Number;223;units;0;v80747903;8.8;766;;;;0
2001/2002;Manitoba;2016A000246;Other community programs;Number;223;units;0;v80747904;8.9;3232;;;;0
2001/2002;Manitoba;2016A000246;Unknown community admissions;Number;223;units;0;v80747905;8.10;0;;;;0
2001/2002;Saskatchewan;2016A000247;Total custodial admissions;Number;223;units;0;v80747907;9.1;8498;;;;0
2001/2002;Saskatchewan;2016A000247;Sentenced;Number;223;units;0;v80747908;9.2;3345;;;;0
2001/2002;Saskatchewan;2016A000247;Remand;Number;223;units;0;v80747909;9.3;4982;;;;0
2001/2002;Saskatchewan;2016A000247;Other custodial statuses;Number;223;units;0;v80747910;9.4;171;;;;0
2001/2002;Saskatchewan;2016A000247;Total community admissions;Number;223;units;0;v80747911;9.5;7190;;;;0
2001/2002;Saskatchewan;2016A000247;Probation and conditional sentences;Number;223;units;0;v80747912;9.6;4809;;;;0
2001/2002;Saskatchewan;2016A000247;Probation;Number;223;units;0;v80747913;9.7;3444;;;;0
2001/2002;Saskatchewan;2016A000247;Conditional sentence;Number;223;units;0;v80747914;9.8;1365;;;;0
2001/2002;Saskatchewan;2016A000247;Other community programs;Number;223;units;0;v80747915;9.9;2381;;;;0
2001/2002;Saskatchewan;2016A000247;Unknown community admissions;Number;223;units;0;v80747916;9.10;0;;;;0
2001/2002;Alberta;2016A000248;Total custodial admissions;Number;223;units;0;v80747918;10.1;;..;;;0
2001/2002;Alberta;2016A000248;Sentenced;Number;223;units;0;v80747919;10.2;;..;;;0
2001/2002;Alberta;2016A000248;Remand;Number;223;units;0;v80747920;10.3;;..;;;0
2001/2002;Alberta;2016A000248;Other custodial statuses;Number;223;units;0;v80747921;10.4;;..;;;0
2001/2002;Alberta;2016A000248;Total community admissions;Number;223;units;0;v80747922;10.5;22261;;;;0
2001/2002;Alberta;2016A000248;Probation and conditional sentences;Number;223;units;0;v80747923;10.6;11169;;;;0
2001/2002;Alberta;2016A000248;Probation;Number;223;units;0;v80747924;10.7;9438;;;;0
2001/2002;Alberta;2016A000248;Conditional sentence;Number;223;units;0;v80747925;10.8;1731;;;;0
2001/2002;Alberta;2016A000248;Other community programs;Number;223;units;0;v80747926;10.9;11092;;;;0
2001/2002;Alberta;2016A000248;Unknown community admissions;Number;223;units;0;v80747927;10.10;0;;;;0
2001/2002;British Columbia;2016A000259;Total custodial admissions;Number;223;units;0;v80747929;11.1;33312;;;;0
2001/2002;British Columbia;2016A000259;Sentenced;Number;223;units;0;v80747930;11.2;9263;;;;0
2001/2002;British Columbia;2016A000259;Remand;Number;223;units;0;v80747931;11.3;10687;;;;0
2001/2002;British Columbia;2016A000259;Other custodial statuses;Number;223;units;0;v80747932;11.4;13362;;;;0
2001/2002;British Columbia;2016A000259;Total community admissions;Number;223;units;0;v80747933;11.5;28708;;;;0
2001/2002;British Columbia;2016A000259;Probation and conditional sentences;Number;223;units;0;v80747934;11.6;14779;;;;0
2001/2002;British Columbia;2016A000259;Probation;Number;223;units;0;v80747935;11.7;11067;;;;0
2001/2002;British Columbia;2016A000259;Conditional sentence;Number;223;units;0;v80747936;11.8;3712;;;;0
2001/2002;British Columbia;2016A000259;Other community programs;Number;223;units;0;v80747937;11.9;13929;;;;0
2001/2002;British Columbia;2016A000259;Unknown community admissions;Number;223;units;0;v80747938;11.10;0;;;;0
2001/2002;Yukon;2016A000260;Total custodial admissions;Number;223;units;0;v80747940;12.1;627;;;;0
2001/2002;Yukon;2016A000260;Sentenced;Number;223;units;0;v80747941;12.2;280;;;;0
2001/2002;Yukon;2016A000260;Remand;Number;223;units;0;v80747942;12.3;323;;;;0
2001/2002;Yukon;2016A000260;Other custodial statuses;Number;223;units;0;v80747943;12.4;24;;;;0
2001/2002;Yukon;2016A000260;Total community admissions;Number;223;units;0;v80747944;12.5;762;;;;0
2001/2002;Yukon;2016A000260;Probation and conditional sentences;Number;223;units;0;v80747945;12.6;442;;;;0
2001/2002;Yukon;2016A000260;Probation;Number;223;units;0;v80747946;12.7;338;;;;0
2001/2002;Yukon;2016A000260;Conditional sentence;Number;223;units;0;v80747947;12.8;104;;;;0
2001/2002;Yukon;2016A000260;Other community programs;Number;223;units;0;v80747948;12.9;320;;;;0
2001/2002;Yukon;2016A000260;Unknown community admissions;Number;223;units;0;v80747949;12.10;0;;;;0
2001/2002;Northwest Territories;2016A000261;Total custodial admissions;Number;223;units;0;v80747962;14.1;812;;;;0
2001/2002;Northwest Territories;2016A000261;Sentenced;Number;223;units;0;v80747963;14.2;562;;;;0
