FID;CUST_ORG;BUS_CAT_CL;BUS_CAT_DS;OCCPNT_TYP;SRCDATA_ID;SRC_ID_IND;FCLTY_NM;ADDRESS;MAIL_ADD;ST_ADDRESS;LOCALITY;LATITUDE;LONGITUDE;KEYWORDS;X;Y
47;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1529;N;Stn 426 Salmo;414 Baker Ave, Salmo, BC;414 Baker Ave, Salmo, BC;414 Baker Ave;Salmo;49.1929684;-117.276545;ambulance;-117.276559466096;49.1929746964348
48;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1543;N;Cumberland Fire Dept;2679 Dunsmuir Ave, Cumberland, BC;2679 Dunsmuir Ave, Cumberland, BC;2679 Dunsmuir Ave;Cumberland;49.6185869;-125.03154;fire;-125.03155601986;49.6185923375802
49;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1545;N;Pender Harbour Community Policing;12841 Madeira Park Rd, Madeira Park, BC;12841 Madeira Park Rd, Madeira Park, BC;12841 Madeira Park Rd;Madeira Park;49.6184879;-124.024416;police;-124.024432084026;49.618493404308
50;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1547;N;Pender Harbour Fire Hall 1;4990 Gonzales Rd, Madeira Park, BC;4990 Gonzales Rd, Madeira Park, BC;4990 Gonzales Rd;Madeira Park;49.6209387;-124.026848;fire;-124.026864057842;49.6209441763064
51;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1552;N;Yale Volunteer Fire Department Hall 1;31246 Douglas St, Yale, BC;31246 Douglas St, Yale, BC;31246 Douglas St;Yale;49.5617349;-121.429792;fire;-121.429808056708;49.5617407410949
52;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1553;N;Beaverdell Vol Fire Dept;5896 Hwy 33, Beaverdell, BC;5896 Hwy 33, Beaverdell, BC;5896 Hwy 33;Beaverdell;49.439544;-119.084789;fire;-119.084803998698;49.4395500504756
53;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1555;N;Penticton Fire Hall 2;285 Dawson Ave, Penticton, BC;285 Dawson Ave, Penticton, BC;285 Dawson Ave;Penticton;49.4742039;-119.577895;fire;-119.577910223154;49.4742099059917
54;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1564;N;Gillies Bay Fire Dept;5073 Gillies Bay Rd, Gillies Bay, BC;5073 Gillies Bay Rd, Gillies Bay, BC;5073 Gillies Bay Rd;Gillies Bay;49.6803275;-124.479338;fire;-124.479354001338;49.6803329501922
55;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1605;N;Powell River Mun Fire Dept Hall 2;6459 Sutherland Ave, Powell River, BC;6459 Sutherland Ave, Powell River, BC;6459 Sutherland Ave;Powell River;49.8910736;-124.564045;fire;-124.564061398136;49.891079024296
56;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1621;N;Peachland Community Policing;4431 6th St, Peachland, BC;4431 6th St, Peachland, BC;4431 6th St;Peachland;49.7766687;-119.735115;police;-119.735129983164;49.7766746903384
57;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1623;N;Boston Bar RCMP;47864 Old Boston Bar Rd, Boston Bar, BC;47864 Old Boston Bar Rd, Boston Bar, BC;47864 Old Boston Bar Rd;Boston Bar;49.8657793;-121.442749;police;-121.442765046009;49.8657851543462
58;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1630;N;Northside Vol Fire Dept Hall 1;9642 Larson Rd, Lund, BC;9642 Larson Rd, Lund, BC;9642 Larson Rd;Lund;49.9789432;-124.757095;fire;-124.757111607321;49.9789486176525
59;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1642;N;Kelowna Fire Dept Hall 4;619 DeHart Rd, Kelowna, BC;619 DeHart Rd, Kelowna, BC;619 DeHart Rd;Kelowna;49.8225769;-119.487449;fire;-119.487464559395;49.822582937117
60;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1645;N;West Kelowna Fire Rescue Station 34;3399 Gates Rd, West Kelowna, BC;3399 Gates Rd, West Kelowna, BC;3399 Gates Rd;West Kelowna;49.8404672;-119.669744;fire;-119.669759498779;49.8404732034852
61;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1653;N;South Quadra Island Vol Fire Dept;723 Anderson Rd, Quathiaski Cove, BC;723 Anderson Rd, Quathiaski Cove, BC;723 Anderson Rd;Quathiaski Cove;50.0455691;-125.214346;fire;-125.21436263714;50.045574464059
62;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1655;N;West Kelowna Fire Rescue Station 32;2708 Olalla Rd, West Kelowna, BC;2708 Olalla Rd, West Kelowna, BC;2708 Olalla Rd;West Kelowna;49.8597241;-119.549757;fire;-119.549772894689;49.8597301422707
